
No.	单词	解释
1062	intimidate	vt. 恐吓, 威胁时 态: intimidated, intimidating, intimidates 副 词: intimidatingly 名 词: intim...
1063	timid	adj. 羞怯的；胆小的
1064	domestic	1. adj. 国内的；家庭的；驯养的；一心只管家务的<br>2. n. 佣人；国货
1065	dawdle	1. vi. 游手好闲；混日子；偷懒<br>2. vt. 游手好闲；混日子；浪费时间
1066	sluggish	1. adj. 萧条的；迟钝的；懒惰的；行动迟缓的<br>2. n. 市况呆滞；市势疲弱
1067	daw	n. 寒鸦，穴鸟
1068	sluggard	n. 游手好闲的人；懒鬼；偷懒者
1069	daddle	vi. 鬼混；浪费时间
1070	dearth	n. 缺乏；饥馑；粮食不足
1071	scarcity	n. 缺乏；不足
1072	scarce	1. adj. 缺乏的，不足的；稀有的<br>2. adv. 仅仅；几乎不；几乎没有
1073	pluck	1. n. 勇气；内脏；快而猛的拉<br>2. vt. 摘；拔；扯
1074	excerpt	1. n. 摘录，引用<br>2. vt. 引用，摘录
1075	stingy	adj. 吝啬的，小气的；有刺的；缺乏的
1076	famine	n. 饥荒；饥饿，奇缺
1077	splendor	n. 光彩；显赫；壮丽
1078	debark	1. vt. 使下船；使登陆；卸<br>2. vi. 登陆
1079	bark	1. vt. 咆哮；吠叫；[口]咳嗽<br>2. vi. 厉声说出；高声叫卖
1080	barge	1. vi. 蹒跚；闯入<br>2. n. 驳船；游艇
1081	debilitate	vt. 使非常虚弱时 态: debilitated, debilitating, debilitates 名 词: debilitation 形容词: debilita...
1082	debility	n. 衰弱，虚弱；无活力
1083	debonair	adj. 高兴的，快活的；温文尔雅的；殷勤的
1084	race	1. n. 种族，人种；家庭，门弟；属，种<br>2. vt. 和…竞赛；使急走，使全速行进；使参加比赛
1085	dwbris	abbr. 总载重吨位（deadweight capacity）
1086	debris	n. 碎片，残骸
1087	de-	剥夺,分离
1088	deracinate	vt. 根除, 灭绝; 擦掉, 抹去时 态: deracinated, deracinating, deracinates 名 词: deracination
1089	uproot	1. vt. 根除，连根拔起；迫使某人离开出生地或定居处<br>2. vi. 迁离；改变生活方式
1090	dis-	pref. 表示不；表示否定、相反或相对；表示分离、夺去
1091	radish	n. 萝卜，小萝卜
1092	derelict	1. adj. 玩忽职守的；被抛弃了的；无主的<br>2. n. 遗弃物；玩忽职守者；被遗弃的人
1093	it	pron. 它
1094	sad	adj. 悲哀的，令人悲痛的；难过的；凄惨的，阴郁的（形容颜色）
1095	main	1. n. 主要部分，要点；体力；总管道<br>2. adj. 主要的，最重要的；全力的
1096	men	; 区分有魄力的人; 见风使舵；八面玲珑；面面俱到
1097	man	n. 男人, 成年男子; 人; 人类; vt. 给…配备人员; 操纵; 使振作 MANabbr. Magnetic Automatic Navigation 磁性自动导航 MANabbr...
1098	entombed	vt. 埋葬（entomb的过去式）
1099	journeyman	n. 学徒期满的职工,熟练工人
1100	entomb	vt. 埋葬；成为…的坟墓
1101	deposit	1. n. 存款；保证金；沉淀物<br>2. vt. 存放；使沉积
1102	aside	1. adv. 在旁边；离开，撇开<br>2. n. 旁白；私语，悄悄话；离题的话
1103	inaudible	adj. 听不见的；不可闻的
1104	desecrate	vt. 毁坏或亵渎时 态: desecrated, desecrating, desecrates 名 词: desecrater or 名 词: desecrati...
1105	consecrate	vt. 把…奉为神圣;给…祝圣; 奉献时 态: consecrated, consecrating, consecrates 形容词: consecrative 名 词: ...
1106	sacred	adj. 神圣的；庄严的；宗教的；神的
1107	desiccate	vt. 弄干,使脱水时 态: desiccated, desiccating, desiccates 名 词: desiccation 形容词: desiccative...
1108	desiccation	n. 干燥
1109	siccative	adj. 使干燥的; n. 干燥剂
1110	despicable	adj. 可鄙的,卑鄙的名 词: despicableness 副 词: despicably
1111	scope	1. n. 视野；眼界；范围；余地；导弹射程<br>2. vt. [俚]审视
1112	despot	n. 专制君主，暴君；独裁者
1113	potent	adj. 有效的；强有力的，有权势的；有说服力的
1114	desultor	n. 马戏团中表演骑术者
1115	desultory	adj. 散乱的,东拉西扯的; 不按程序的,没有条理的副 词: desultorily 名 词: desultoriness
1116	descend	1. vi. 下降；下来；遗传；屈尊；下去<br>2. vt. 下去；沿…向下
1117	scan	1. vt. 扫描；细看；浏览；详细调查；标出格律<br>2. vi. 扫描；扫掠
1118	deter	vt. 制止，阻止；使打消念头
1119	diaphanous	adj. 透明的名 词: diaphaneity 副 词: diaphanously
1120	dia-	pref. 表示“通过,完全”之义
1121	phantasm	n. 幻想，幽灵；错觉；空想
1122	diatribe	n. 诽谤；恶骂
1123	dichotomy	n. 一分成二,对分
1124	didact	n. 说教者
1125	didactic	adj. 说教的；教诲的
1126	diffidence	n. 缺乏自信
1127	diffidation	n. 绝交,正式挑战
1128	diffuse	1. adj. 散开的；弥漫的<br>2. vt. 传播；扩散；漫射
1129	diffusion	n. 扩散，传播；[物]漫射
1130	dilapidate	v. 荒废,毁坏,浪费时 态: dilapidated, dilapidating, dilapidates 名 词: dilapidation
1131	dilapidation	n. 荒废；破损；崩塌
1132	squander	1. vt. 浪费<br>2. vi. 浪费；漂泊
1133	squanderer	n. 浪费者,放荡者
1134	pelt	1. vt. 攻击或投掷；剥皮<br>2. vi. 连续投掷；雨等急降
1135	pellet	1. n. 小球；小子弹（枪用）<br>2. vt. 将…制成丸状；用子弹打；用小球扔
1136	pile	1. n. 堆；大量；建筑群<br>2. vt. 累积；打桩于
1137	dilate	1. vi. 膨胀；扩大；详述<br>2. vt. 使膨胀；使扩大
1138	latitude	n. 纬度；界限；活动范围
1139	dilatory	adj. 拖拉的；缓慢的，不慌不忙的
1140	defer	1. vi. 延期；推迟；服从<br>2. vt. 使推迟；使延期
1141	dilettante	1. n. 业余爱好者；一知半解者<br>2. adj. 业余艺术爱好的；浅薄的
1142	connotation	n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
1143	delight	1. n. 高兴<br>2. vi. 高兴
1144	delicious	adj. 美味的, 可口的; 令人开心的, 怡人的; 技巧和谨慎; 敏感副 词: deliciously 名 词: deliciousness
1145	lace	1. n. 花边；鞋带；饰带；少量烈酒<br>2. vt. 饰以花边；结带子
1146	diligent	adj. 勤勉的；用功的，费尽心血的
1147	diligency	n. 勤勉,用心,坚韧
1148	diligence	n. 勤奋，勤勉；[法]注意的程度
1149	esteem	1. vt. 认为；尊敬；考虑；估价<br>2. n. 尊重；尊敬
1150	lecture	1. n. 演讲；讲稿；教训<br>2. vt. 演讲；训诫
1151	dilute	1. adj. 稀释的；淡的<br>2. vt. 稀释；冲淡；削弱
1152	lave	1. vt. 洗；沐浴；冲刷<br>2. n. 剩余物
1153	dingy	adj. 昏暗的；肮脏的
1154	dung	1. vt. 施粪肥于<br>2. n. 粪
1155	Tacitus	n. 塔西佗（古罗马元老院议员）
1156	disabuse	vt. 使省悟；解迷惑；释疑；矫正
1157	disavow	vt. 否认，否定；抵赖；拒绝对…的责任
1158	avow	vt. 承认；公开宣称；坦率承认
1159	advocate	1. vt. 提倡，主张，拥护<br>2. n. 提倡者；支持者；律师
1160	discern	1. vt. 识别；领悟，认识<br>2. vi. 看清楚，辨别
1161	disciple	n. 门徒，信徒；弟子
1162	Barnhart	n. 〈美〉照料奶牛和牛棚并常挤牛奶的人
1163	Klein	n. 克莱因（男子名）
1164	thane	n. [英史]大乡绅；领主
1165	discomfit	vt. 使为难,使狼狈,使窘迫; 使挫折,阻碍; 挫败,阻挠时 态: discomfited, discomfiting, discomfits
1166	confection	n. 甜食,糕点时 态: confectioned, confectioning, confections
1167	pastry	n. 油酥点心；面粉糕饼
1168	debunk	vt. 揭穿；拆穿…的假面具；暴露
1169	Woodward	n. 森林管理员
1170	bunk	1. n. 铺位；座床；床铺<br>2. vi. 睡在铺上；逃跑
1171	berth	1. n. 停泊处，锚位；卧铺；差事<br>2. vt. 使……停泊；为……提供铺位
1172	bunker	1. n. 沙坑；燃料库；煤仓<br>2. vt. 使陷入困境；把球击入沙坑
1173	decadence	n. 堕落，颓废；衰落
1174	case	1. n. 情况；实例；箱<br>2. vt. 把…装于容器中；包围
1175	decant	vt. 移入其他容器；轻轻倒出
1176	cant	1. n. 斜面；伪善之言；黑话；角落<br>2. vi. 倾斜；讲黑话
1177	oblique	1. adj. 斜的；不光明正大的<br>2. n. 倾斜物
1178	decorum	n. 礼貌；礼仪；端正；恪守礼仪
1179	decor	n. 装饰，布置
1180	decrepit	adj. 衰老的；破旧的
1181	decry	vt. 责难，谴责；诽谤
1182	deference	n. 顺从
1183	defile	1. vt. 污损，弄脏；染污<br>2. n. 狭谷；隘路
1184	French	1. adj. 法国的；法语的；法国人的<br>2. n. 法国人；法语
1185	file	1. n. 文件；档案；锉刀；文件夹<br>2. vt. 锉；琢磨；把…归档；提出
1186	foil	1. vt. 挫败；阻止，挡开；衬托；贴箔于<br>2. n. 箔，金属薄片；叶形片；衬托，烘托
1187	tread	1. n. 步态；踏；鞋底；踏板；胎面；梯级<br>2. vt. 踏；踩；践踏；跳；踩出
1188	foul	1. adj. 邪恶的；污秽的；犯规的；淤塞的<br>2. vt. 弄脏；犯规；淤塞；缠住，妨害
1189	deflect	1. vt. 使偏斜；使转向；使弯曲<br>2. vi. 偏斜；转向
1190	Deflected	偏离的
1191	defray	vt. 支付；支出
1192	defuse	vt. 去掉…的雷管；使除去危险性；平息
1193	fuse	1. vi. 熔化，熔融；融合<br>2. vt. 使熔化，使熔融；使融合
1194	delegate	1. vt. 委派…为代表<br>2. n. 代表
1195	legate	1. n. 罗马教皇的使节；使者<br>2. vt. 当做遗产让与
1196	legal	adj. 法定的；法律的；合法的
1197	deleterious	adj. 有害的副 词: deleteriously 名 词: deleteriousness
1198	delibrate	n. 得利卡（汽车品牌）
1199	deliberate	adj. 故意的, 蓄意的; 慎重的, 深思熟虑的; 不慌不忙的, 从容不迫的; vt. & vi. 仔细考虑; 研讨, 商讨时 态: deliberated, deliberating...
1200	deliberation	n. 审议；从容；熟思；考虑
1201	liberare	vt. 解放；释放；放出
1202	delirium	n. 精神错乱；发狂，狂热；说谵语状态
1203	learn	1. vt. 学习；认识到；得知<br>2. vi. 学习；获悉
1204	delve	1. vi. 钻研；探究；[英古]挖<br>2. vt. 探究；钻研；[英古]挖
1205	dell	n. 有树林的小谷地
1206	dale	n. 山谷,谷; 翻山越谷；到处 Dale戴尔
1207	demagogue	n. 煽动者；煽动家；煽动政治家
1208	demolish	vt. 毁坏；推翻；破坏；拆除；驳倒
1209	mole	n. 防波堤；胎块；鼹鼠；痣
1210	demoralize	vt. 使士气低落,使意志消沉时 态: demoralized, demoralizing, demoralizes 名 词: demoralization 名 词: ...
1211	Revolution	n. 革命; 彻底改变, 重大变革; 旋转; 运行, 公转
1212	moral	1. adj. 道德的；精神上的；品性端正的<br>2. n. 道德；寓意
1213	demur	1. vi. 反对；提出异议；抗辩<br>2. n. 反对；异议
1214	objection	n. 反对, 异议; 厌恶; 反对的理由
1215	moratorium	n. 正式的延缓,暂停
1216	denigrate	vt. 诋毁,诽谤时 态: denigrated, denigrating, denigrates 名 词: denigration 名 词: denigrator
1217	deplete	vt. 耗尽，用尽；使衰竭，使空虚
1218	depletion	n. 消耗;用尽
1219	pleio-	高压等值线
1220	wail	1. vi. 悲叹；哀号<br>2. vt. 为某人死亡而悲痛；哀悼某人；哀号着说
1221	woe	1. n. 悲哀，悲痛；灾难<br>2. int. 唉（表示痛苦，悲伤或悔恨）
1222	deploy	1. vt. 配置；展开；使疏开<br>2. vi. 展开；部署
1223	deprave	vt. 使堕落；使腐败
1224	crooked	adj. 弯曲的；歪的；不正当的
1225	discreet	adj. 小心的；谨慎的
1226	discrepancy	n. 差异, 不符合; 不一致
1227	raven	1. n. 掠夺，劫掠；大乌鸦<br>2. adj. 乌黑的
1228	discrepance	n. 差异,分歧,残余项
1229	discrepant	adj. 差异的副 词: discrepantly
1230	diacrete	硅藻土混凝土
1231	discrete	1. adj. 离散的，不连续的<br>2. n. 分立元件；独立部件
1232	luscious	adj. 甘美的；满足感官的
1233	grill	1. vt. 烧，烤；烤问<br>2. vi. 烧，烤；严加盘问
1234	grille	1. n. 格子；格子窗；（银行，邮局柜台上的）铁栅<br>2. vt. 给…装格栅
1235	grating	1. adj. 刺耳的；磨擦的<br>2. n. 格子；光栅；摩擦，摩擦声
1236	ornamental	装饰的; 装饰品
1237	automobile	汽车; 汽车的
1238	hurdle	1. n. 障碍；跳栏；栏<br>2. vt. 克服
1239	gridiron	n. 烤架；格状物；橄榄球场
1240	dietary	1. n. 规定的食物；饮食的规定<br>2. adj. 饮食的，饭食的
1241	artery	n. 动脉；干道；主流
1242	aorta	n. 主动脉
1243	eminent	adj. 杰出的；有名的；明显的
1244	dilemma	n. 困境；进退两难；[逻]两刀论法
1245	analemma	n. [天]（在地球仪上表示全年太阳的赤纬和时差的）地球仪8字曲线
1246	lemma	n. 辅助定理；引理；论点；[植]膜
1247	latch	1. vi. 闭锁；占有，抓住<br>2. vt. 闩上；纠缠住某人
1248	sceptical	adj. 不肯相信的; 常怀疑的
1249	skeptical	adj. 怀疑性的,好怀疑的,〈口〉无神论的副 词: skeptically
1250	skeptic	n. 怀疑论者；怀疑者；无神论者
1251	ham	1. n. 火腿；[口]业余无线电爱好者；[俚]蹩脚演员<br>2. vi. 表演过火
1252	protest	1. vi. 抗议；断言<br>2. vt. 抗议；断言
1253	Protestant	抗议者
1254	dissent	1. vi. 不同意；[英]不信奉国教<br>2. n. 异议；（大写）不信奉国教
1255	Speyer	n. 斯培西亚（意大利城市）
1256	obedience	n. 服从;顺从;听话
1257	make	vt. 做; 制造; 被制造; 做出, 制定, 产生; 使, 使得; 获得, 挣得; 总计, 等于; 成为, 使成为; 到达; 准备; 整理; 认为; 估计; vi. 开始; 试图; 行进,...
1258	obedient	adj. 孝顺的；顺从的，服从的
1259	vers	abbr. 正矢（versed sine）
1260	verse	n. 诗，诗篇；韵文；诗节
1261	scramble	1. vt. 攀登；使混杂，仓促凑成；扰乱<br>2. n. 爬行，攀登；抢夺，争夺；混乱，混乱的一团
1262	scrabble	1. n. 一种拼字游戏；抓；摸索；挣扎；涂鸦<br>2. vi. 扒寻；摸索；挣扎；乱涂
1263	saucette	adj. 〈主苏格兰〉淡黄色的,苍白的,气色不好的; v. 变成菜色; n. 柳属植物,柳属植物的树枝
1264	saucett	adj. 〈主苏格兰〉淡黄色的,苍白的,气色不好的; v. 变成菜色; n. 柳属植物,柳属植物的树枝
1265	Sabbath	n. [宗]安息日
1266	religious	adj. 宗教的; 笃信宗教的, 虔诚的; 谨慎的, 认真的副 词: religiously 名 词: religiousness
1267	ethical	1. adj. 道德的；伦理的；凭处方出售的<br>2. n. 处方药
1268	habit	1. n. 习惯，习性；嗜好<br>2. vt. 使穿衣
1269	rash	1. adj. 轻率的；鲁莽的；不顾后果的<br>2. n. 皮疹；突然大量出现的事物
1270	rasher	n. 薄片；熏肉薄片；咸肉的薄片
1271	rase	vt. 消除（记忆等）；破坏
1272	lexicographer	n. 词典编纂者
1273	rashly	adv. 轻率地；鲁莽地；无见识地
1274	hastily	adv. 匆忙地；急速地；慌忙地
1275	diabetes	n. 糖尿病；多尿症
1276	come	1. vi. 来；出现；到达；变成；开始；发生<br>2. vt. 做；假装；将满（…岁）
1277	lipid	n. 油脂；脂质
1278	lipo-	脂肪腺瘤
1279	expectancy	n. 期待;期望
1280	mice	n. 老鼠（mouse的复数）
1281	mince	1. vt. 切碎；矫揉做作地说<br>2. vi. 装腔作势；碎步走
1282	minute	1. n. 片刻，一会儿；分，分钟；备忘录，笔记；会议记录<br>2. vt. 将…记录下来
1283	marbled	1. adj. 有大理石般色彩纹理的；大理石的<br>2. v. 把…弄上大理石花纹（marble的过去分词）
1284	marble	1. n. 大理石；大理石制品；弹珠<br>2. adj. 大理石的；冷酷无情的
1285	pro rata	临机应变；为意外事件（for an unexpected contingency））
1286	faeces	n. 粪便；排泄物；糟粕（等于feces）
1287	feces	n. 排泄物；渣滓
1288	dregs	n. 少量；渣滓；沉淀物（dreg的复数）
1289	blimey	int. 啊呀（等于blimy）
1290	abusive	adj. 辱骂的；滥用的；虐待的
1291	abdom	n. 腹部；下腹；腹腔
1292	abdominal	adj. 腹部的; 有腹鳍的; n. 腹肌副 词: abdominally
1293	abdomen	n. 腹部；下腹；腹腔
1294	intrigue	1. n. 阴谋；诡计；复杂的事；私通<br>2. vt. 用诡计取得；激起...的兴趣
1295	intricate	adj. 错综复杂的副 词: intricately 名 词: intricateness
1296	perplexity	n. 困惑;混乱; 复杂,困难
1297	theolog	n. 〈口〉神学院学生
1298	theologue	n. 〈英〉神学院学生
1299	theology	n. 神学；宗教体系
1300	theo-	西奥
1301	the	1. art. 这；那<br>2. adv. 更加（用于比较级，最高级前）
1302	prolific	adj. 多产的；丰富的
1303	cathedra	n. 主教的座位；权威人士的地位；讲座
1304	cathedral	n. 总教堂, 大教堂
1305	liner	n. 班轮，班机；衬垫；画线者
1306	afford	vt. 给予，提供；买得起
1307	immense	adj. 巨大的，广大的；无边无际的；[口]非常好的
1308	achieve	1. vt. 完成；达到<br>2. vi. 达到目的；如愿以偿
1309	achieved	1. adj. 取得的；完成的<br>2. v. 取得，获得；完成（achieve的过去式）
1310	archive	1. n. 档案馆；档案文件<br>2. vt. 把…存档
1311	lumber	1. vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动<br>2. vt. 砍伐木材；乱堆
1312	chateau	n. （法国封建时代的）城堡；（尤指法国的）别墅
1313	retreat	1. n. 撤退；休息寓所；撤退<br>2. vi. 撤退；退避；向后倾
1314	artillery	n. 炮, 大炮; 炮兵部队
1315	superiority	n. 优越, 优等
1316	superior	1. adj. 上级的；高傲的；优秀的，出众的<br>2. n. 上级，长官；长者；优胜者，高手
